"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
2;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN";;;
3;"C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470pF";;;
4;"R4";"R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal";1;"27k";;;
5;"R3,R22,R23,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10";;;
6;"R26";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
7;"R14,R28,R31,R13,R30,R32,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"2M";;;
8;"R21,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
9;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"23.4k";;;
10;"R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"22";;;
11;"C15,C16,C13";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"4.7uF";;;
12;"R8";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"0.047";;;
13;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
14;"C22";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
15;"D7";"Nexperia_CFP3_SOD-123W";1;"Bzt52c20";;;
16;"R5,R25";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";2;"DNP";;;
17;"R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.49k";;;
18;"C17,C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"680pF";;;
19;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"133k";;;
20;"C21";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1nF";;;
21;"C23";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22pF 50V";;;
22;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"51";;;
23;"C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"56pF";;;
24;"R24";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"0.47";;;
25;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120k";;;
26;"C24";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF 50V";;;
27;"R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"86.6k";;;
28;"Q2";"TDSON-8-1";1;"CSD16403Q5A";;;
29;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470nF";;;
30;"D4";"D_SMA_Handsoldering";1;"ES1J";;;
31;"R27";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
32;"U5";"TSOT-23-6_HandSoldering";1;"UCC287501D";;;
33;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"56nF";;;
34;"R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5k";;;
35;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"6.8k";;;
36;"U2";"Texas_S-PDSO-G8_3x3mm_P0.65mm";1;"TPS24701DGKR";;;
37;"U3";"SOT-23W_Handsoldering";1;"TL432DBZ";;;
38;"C14";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10nF";;;
39;"D6,D5";"D_SOD-323_HandSoldering";2;"1N4148WT";;;
