Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0805,2,680pF,
C10,0805,1,56pF,
C11,0805,1,1nF,
C12,0805,1,56nF,
"C13, C19",0805,2,10n,
C15,0805,1,4.7uF 50V,
C16,0805,1,470nF,
"C2, C3, C7",1206,3,4.7uF,
"C21, C23",0805,2,100nF,
C22,0805,1,470pF,
C24,1206,1,10nF,
C27,0805,1,22pF 50V,
D1,0805,1,GREEN,
"D2, D3, D4, D5",D_SOD-523,4,1N4148WT,
D7,Nexperia_CFP3_SOD-123W,1,Bzt52c20,
D8,D_SMA_Handsoldering,1,ES1J,
Q2,TDSON-8-1,1,CSD16403Q5A,
"R1, R20, R21, R27",0805,4,10,
R10,0805,1,5k,
R11,0805,1,133k,
R12,0805,1,2.49k,
R13,0805,1,120k,
"R14, R26, R5",0805,3,10k,
"R15, R16",2512,2,0.018,
"R18, R19, R3",0805,3,2M,
"R2, R4",2512,2,0.47,
R22,1206,1,22,
R23,1206,1,80k,
R24,0805,1,6.8k,
R6,0805,1,100,
R7,0805,1,51,
R8,0805,1,86.6k,
R9,0805,1,23.4k,
"RA1, RB1",0805,2,220,
U1,TSOT-23-6_HandSoldering,1,UCC287501D,
U3,SOT-23W_Handsoldering,1,TL432DBZ,
U4,VSSOP-8_2.3x2mm_P0.5mm,1,TPS24701DGKR,
