Designator,Mid X,Mid Y,Rotation,Layer
C1,184.0375,-108.25,180.0,bottom
C10,178.0,-127.5,0.0,bottom
C11,162.0,-123.5,90.0,bottom
C12,205.25,-77.0,270.0,bottom
C13,126.195,-123.73,270.0,bottom
C14,137.152651,-106.75,180.0,top
C15,145.6875,-124.65,90.0,bottom
C16,216.5,-88.0,0.0,bottom
C17,125.0,-69.76111,0.0,top
C19,118.695,-114.23,180.0,bottom
C2,192.0,-107.5,270.0,bottom
C20,93.47778,-92.73889,180.0,top
C21,150.6875,-124.65,90.0,bottom
C22,153.0,-117.25,0.0,top
C23,119.195,-128.23,180.0,bottom
C24,151.1875,-64.0,180.0,bottom
C25,93.47778,-100.73889,0.0,top
C26,93.47778,-106.73889,180.0,top
C27,140.75,-120.0,270.0,bottom
C29,124.75,-82.73889,0.0,top
C3,202.5,-66.5,270.0,bottom
C4,199.0,-107.565216,90.0,top
C5,198.5,-67.0,90.0,top
C7,195.0,-107.5,270.0,bottom
C8,168.5,-61.75,0.0,top
C9,181.5,-126.0,90.0,bottom
D1,206.0,-92.5,270.0,top
D2,105.695,-122.73,180.0,bottom
D3,105.695,-120.23,0.0,bottom
D4,148.25,-120.0,270.0,bottom
D5,143.1875,-124.95,90.0,bottom
D6,181.71,-114.0,180.0,top
D7,148.1875,-124.25,90.0,bottom
D8,159.25,-70.75,270.0,bottom
D9,124.46028,-103.78139,270.0,top
F1,90.72778,-78.73889,0.0,top
FL1,111.5,-103.75,0.0,top
J1,157.75,-113.75,270.0,top
J2,127.5,-61.0,0.0,top
J3,97.005,-124.115,270.0,top
J5,214.7175,-92.75,90.0,top
J6,79.47778,-101.73889,270.0,top
L1,198.5,-87.0,270.0,top
Q1,144.98028,-113.73889,180.0,top
Q2,214.135,-82.85,0.0,bottom
R1,157.75,-117.25,180.0,top
R10,178.0,-122.0,0.0,bottom
R11,178.0,-125.0,0.0,bottom
R12,174.5,-123.0,90.0,bottom
R13,202.5,-77.0,270.0,bottom
R14,204.75,-82.5,270.0,bottom
R15,214.25,-73.95,90.0,bottom
R16,210.0,-73.95,90.0,bottom
R17,129.5,-103.0,270.0,top
R18,142.0,-97.0,90.0,bottom
R19,142.0,-93.0,90.0,bottom
R2,135.0,-114.5,0.0,bottom
R20,145.75,-120.0,90.0,bottom
R21,155.0,-117.75,270.0,bottom
R22,157.6375,-64.0,0.0,bottom
R23,151.1875,-61.0,180.0,bottom
R24,206.0,-96.75,90.0,top
R26,139.25,-124.25,180.0,bottom
R27,209.0,-85.75,180.0,bottom
R3,142.0,-101.0,90.0,bottom
R4,134.95,-118.5,0.0,bottom
R5,151.75,-114.5,90.0,bottom
R6,179.5,-108.25,180.0,bottom
R7,181.75,-120.0,180.0,bottom
R8,184.0,-123.0,90.0,bottom
R9,186.5,-127.0,0.0,bottom
RA1,112.195,-128.73,0.0,bottom
RB1,109.695,-117.23,0.0,bottom
RV1,110.605,-122.73,90.0,top
RV2,106.47778,-89.73889,270.0,top
T1,166.7875,-87.7875,0.0,top
TP1,139.25,-61.0,0.0,top
TP2,136.0,-122.0,0.0,top
TP3,204.0,-59.0,0.0,top
TP5,174.5,-114.0,0.0,top
TP6,210.0,-83.75,0.0,top
TP7,165.25,-119.5,0.0,top
TP8,183.75,-128.5,180.0,top
TP9,171.75,-119.5,0.0,top
U1,156.75,-122.5,180.0,bottom
U2,168.5,-123.0,270.0,bottom
U3,191.5,-125.0,90.0,bottom
U4,207.75,-82.1,90.0,bottom
U5,119.19,-121.23,180.0,top
